timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1579537133408,396,Req1,200,OK,TestCase - 1 1-1,text,true,,393037,234,2,2,https://www.tesco.com/,60,0,25
1579537133408,60,Req1-0,301,Moved Permanently,TestCase - 1 1-1,,true,,278,117,2,2,http://www.tesco.com/,60,0,25
1579537133469,335,Req1-1,200,OK,TestCase - 1 1-1,text,true,,392759,117,2,2,https://www.tesco.com/,201,0,57
1579537133807,399,Req1,200,OK,TestCase - 1 1-3,text,true,,393037,234,4,4,https://www.tesco.com/,27,0,10
1579537133807,27,Req1-0,301,Moved Permanently,TestCase - 1 1-3,,true,,278,117,4,4,http://www.tesco.com/,27,0,10
1579537133835,371,Req1-1,200,OK,TestCase - 1 1-3,text,true,,392759,117,4,4,https://www.tesco.com/,142,0,35
1579537134008,409,Req1,200,OK,TestCase - 1 1-4,text,true,,393038,234,5,5,https://www.tesco.com/,69,0,35
1579537134008,69,Req1-0,301,Moved Permanently,TestCase - 1 1-4,,true,,278,117,5,5,http://www.tesco.com/,69,0,35
1579537134078,339,Req1-1,200,OK,TestCase - 1 1-4,text,true,,392760,117,5,5,https://www.tesco.com/,133,0,39
1579537133607,917,Req1,200,OK,TestCase - 1 1-2,text,true,,393013,234,5,5,https://www.tesco.com/,596,0,9
1579537133607,596,Req1-0,301,Moved Permanently,TestCase - 1 1-2,,true,,278,117,5,5,http://www.tesco.com/,596,0,9
1579537134204,320,Req1-1,200,OK,TestCase - 1 1-2,text,true,,392735,117,5,5,https://www.tesco.com/,217,0,92
1579537134212,655,Req1,200,OK,TestCase - 1 1-5,text,true,,393038,234,5,5,https://www.tesco.com/,395,0,26
1579537134212,395,Req1-0,301,Moved Permanently,TestCase - 1 1-5,,true,,278,117,5,5,http://www.tesco.com/,395,0,26
1579537134609,258,Req1-1,200,OK,TestCase - 1 1-5,text,true,,392760,117,5,5,https://www.tesco.com/,134,0,47
1579537136806,311,Req2,200,OK,TestCase - 1 1-1,text,true,,80586,260,5,5,https://www.tesco.com/help/contact/,26,0,10
1579537136806,26,Req2-0,301,Moved Permanently,TestCase - 1 1-1,,true,,291,130,5,5,http://www.tesco.com/help/contact/,26,0,10
1579537136833,284,Req2-1,200,OK,TestCase - 1 1-1,text,true,,80295,130,5,5,https://www.tesco.com/help/contact/,266,0,60
1579537137214,153,Req2,200,OK,TestCase - 1 1-3,text,true,,80586,260,5,5,https://www.tesco.com/help/contact/,24,0,10
1579537137214,24,Req2-0,301,Moved Permanently,TestCase - 1 1-3,,true,,291,130,5,5,http://www.tesco.com/help/contact/,24,0,10
1579537137238,129,Req2-1,200,OK,TestCase - 1 1-3,text,true,,80295,130,5,5,https://www.tesco.com/help/contact/,106,0,46
1579537137418,121,Req2,200,OK,TestCase - 1 1-4,text,true,,80586,260,5,5,https://www.tesco.com/help/contact/,26,0,9
1579537137418,26,Req2-0,301,Moved Permanently,TestCase - 1 1-4,,true,,291,130,5,5,http://www.tesco.com/help/contact/,26,0,9
1579537137444,95,Req2-1,200,OK,TestCase - 1 1-4,text,true,,80295,130,5,5,https://www.tesco.com/help/contact/,76,0,45
1579537137525,115,Req2,200,OK,TestCase - 1 1-2,text,true,,80586,260,5,5,https://www.tesco.com/help/contact/,29,0,13
1579537137525,29,Req2-0,301,Moved Permanently,TestCase - 1 1-2,,true,,291,130,5,5,http://www.tesco.com/help/contact/,29,0,13
1579537137554,86,Req2-1,200,OK,TestCase - 1 1-2,text,true,,80295,130,5,5,https://www.tesco.com/help/contact/,69,0,44
1579537137869,161,Req2,200,OK,TestCase - 1 1-5,text,true,,80586,260,5,5,https://www.tesco.com/help/contact/,59,0,9
1579537137869,59,Req2-0,301,Moved Permanently,TestCase - 1 1-5,,true,,291,130,5,5,http://www.tesco.com/help/contact/,59,0,9
1579537137928,102,Req2-1,200,OK,TestCase - 1 1-5,text,true,,80295,130,5,5,https://www.tesco.com/help/contact/,86,0,54
1579537140118,147,Req3,200,OK,TestCase - 1 1-1,text,true,,72498,244,5,5,https://www.tesco.com/help/,52,0,10
1579537140118,52,Req3-0,301,Moved Permanently,TestCase - 1 1-1,,true,,283,122,5,5,http://www.tesco.com/help/,52,0,10
1579537140171,94,Req3-1,200,OK,TestCase - 1 1-1,text,true,,72215,122,5,5,https://www.tesco.com/help/,78,0,48
1579537140368,130,Req3,200,OK,TestCase - 1 1-3,text,true,,72538,244,4,4,https://www.tesco.com/help/,24,0,9
1579537140368,24,Req3-0,301,Moved Permanently,TestCase - 1 1-3,,true,,283,122,4,4,http://www.tesco.com/help/,24,0,9
1579537140393,105,Req3-1,200,OK,TestCase - 1 1-3,text,true,,72255,122,4,4,https://www.tesco.com/help/,89,0,53
1579537140539,105,Req3,200,OK,TestCase - 1 1-4,text,true,,72498,244,3,3,https://www.tesco.com/help/,22,0,8
1579537140539,22,Req3-0,301,Moved Permanently,TestCase - 1 1-4,,true,,283,122,3,3,http://www.tesco.com/help/,22,0,8
1579537140561,83,Req3-1,200,OK,TestCase - 1 1-4,text,true,,72215,122,3,3,https://www.tesco.com/help/,69,0,46
1579537140640,99,Req3,200,OK,TestCase - 1 1-2,text,true,,72498,244,2,2,https://www.tesco.com/help/,23,0,8
1579537140640,23,Req3-0,301,Moved Permanently,TestCase - 1 1-2,,true,,283,122,2,2,http://www.tesco.com/help/,23,0,8
1579537140663,76,Req3-1,200,OK,TestCase - 1 1-2,text,true,,72215,122,2,2,https://www.tesco.com/help/,60,0,37
1579537141030,108,Req3,200,OK,TestCase - 1 1-5,text,true,,72498,244,1,1,https://www.tesco.com/help/,23,0,9
1579537141030,23,Req3-0,301,Moved Permanently,TestCase - 1 1-5,,true,,283,122,1,1,http://www.tesco.com/help/,23,0,9
1579537141053,85,Req3-1,200,OK,TestCase - 1 1-5,text,true,,72215,122,1,1,https://www.tesco.com/help/,69,0,47
